window,method,F1,n,scenario
7,TF-Vote-Decay-3.0,0.7413,661,sudden|5src|brand+title
8,WV-static,0.6868,661,sudden|5src|brand+title
8,TF-Vote-NoDecay,0.7428,661,sudden|5src|brand+title
8,TF-Vote-Decay-3.0,0.7458,661,sudden|5src|brand+title
1,WV-static,0.7396,338,gradual|2src|brand
1,TF-Vote-NoDecay,0.7396,338,gradual|2src|brand
1,TF-Vote-Decay-3.0,0.7396,338,gradual|2src|brand
2,WV-static,0.7902,491,gradual|2src|brand
2,TF-Vote-NoDecay,0.7862,491,gradual|2src|brand
2,TF-Vote-Decay-3.0,0.7882,491,gradual|2src|brand
3,WV-static,0.8155,580,gradual|2src|brand
3,TF-Vote-NoDecay,0.8155,580,gradual|2src|brand
3,TF-Vote-Decay-3.0,0.8172,580,gradual|2src|brand
4,WV-static,0.8553,629,gradual|2src|brand
4,TF-Vote-NoDecay,0.8553,629,gradual|2src|brand
4,TF-Vote-Decay-3.0,0.8521,629,gradual|2src|brand
5,WV-static,0.8812,648,gradual|2src|brand
5,TF-Vote-NoDecay,0.8843,648,gradual|2src|brand
5,TF-Vote-Decay-3.0,0.8781,648,gradual|2src|brand
6,WV-static,0.9117,657,gradual|2src|brand
6,TF-Vote-NoDecay,0.9117,657,gradual|2src|brand
6,TF-Vote-Decay-3.0,0.9087,657,gradual|2src|brand
7,WV-static,0.9244,661,gradual|2src|brand
7,TF-Vote-NoDecay,0.9319,661,gradual|2src|brand
7,TF-Vote-Decay-3.0,0.9365,661,gradual|2src|brand
8,WV-static,0.9349,661,gradual|2src|brand
8,TF-Vote-NoDecay,0.9561,661,gradual|2src|brand
8,TF-Vote-Decay-3.0,0.9531,661,gradual|2src|brand
1,WV-static,0.7396,338,gradual|2src|title
1,TF-Vote-NoDecay,0.7396,338,gradual|2src|title
1,TF-Vote-Decay-3.0,0.7396,338,gradual|2src|title
2,WV-static,0.7902,491,gradual|2src|title
2,TF-Vote-NoDecay,0.7862,491,gradual|2src|title
2,TF-Vote-Decay-3.0,0.7882,491,gradual|2src|title
3,WV-static,0.8155,580,gradual|2src|title
3,TF-Vote-NoDecay,0.8155,580,gradual|2src|title
3,TF-Vote-Decay-3.0,0.8172,580,gradual|2src|title
4,WV-static,0.8585,629,gradual|2src|title
4,TF-Vote-NoDecay,0.8601,629,gradual|2src|title
4,TF-Vote-Decay-3.0,0.8553,629,gradual|2src|title
5,WV-static,0.8781,648,gradual|2src|title
5,TF-Vote-NoDecay,0.8827,648,gradual|2src|title
5,TF-Vote-Decay-3.0,0.8781,648,gradual|2src|title
6,WV-static,0.9056,657,gradual|2src|title
6,TF-Vote-NoDecay,0.9117,657,gradual|2src|title
6,TF-Vote-Decay-3.0,0.9132,657,gradual|2src|title
7,WV-static,0.9183,661,gradual|2src|title
7,TF-Vote-NoDecay,0.9213,661,gradual|2src|title
7,TF-Vote-Decay-3.0,0.9334,661,gradual|2src|title
8,WV-static,0.9365,661,gradual|2src|title
8,TF-Vote-NoDecay,0.9531,661,gradual|2src|title
8,TF-Vote-Decay-3.0,0.9531,661,gradual|2src|title
1,WV-static,0.7396,338,gradual|2src|brand+title
1,TF-Vote-NoDecay,0.7396,338,gradual|2src|brand+title
1,TF-Vote-Decay-3.0,0.7396,338,gradual|2src|brand+title
2,WV-static,0.7902,491,gradual|2src|brand+title
2,TF-Vote-NoDecay,0.7862,491,gradual|2src|brand+title
2,TF-Vote-Decay-3.0,0.7882,491,gradual|2src|brand+title
3,WV-static,0.8155,580,gradual|2src|brand+title
3,TF-Vote-NoDecay,0.8155,580,gradual|2src|brand+title
3,TF-Vote-Decay-3.0,0.8172,580,gradual|2src|brand+title
4,WV-static,0.8506,629,gradual|2src|brand+title
4,TF-Vote-NoDecay,0.8521,629,gradual|2src|brand+title
4,TF-Vote-Decay-3.0,0.8474,629,gradual|2src|brand+title
5,WV-static,0.8704,648,gradual|2src|brand+title
5,TF-Vote-NoDecay,0.875,648,gradual|2src|brand+title
5,TF-Vote-Decay-3.0,0.8704,648,gradual|2src|brand+title
6,WV-static,0.8919,657,gradual|2src|brand+title
6,TF-Vote-NoDecay,0.8965,657,gradual|2src|brand+title
6,TF-Vote-Decay-3.0,0.8995,657,gradual|2src|brand+title
7,WV-static,0.9002,661,gradual|2src|brand+title
7,TF-Vote-NoDecay,0.9107,661,gradual|2src|brand+title
7,TF-Vote-Decay-3.0,0.9244,661,gradual|2src|brand+title
8,WV-static,0.9017,661,gradual|2src|brand+title
8,TF-Vote-NoDecay,0.9365,661,gradual|2src|brand+title
8,TF-Vote-Decay-3.0,0.9349,661,gradual|2src|brand+title
1,WV-static,0.7396,338,gradual|3src|brand
1,TF-Vote-NoDecay,0.7396,338,gradual|3src|brand
