window,method,F1,n,scenario
1,TF-Vote-Decay-3.0,0.7396,338,gradual|3src|brand
2,WV-static,0.7902,491,gradual|3src|brand
2,TF-Vote-NoDecay,0.7862,491,gradual|3src|brand
2,TF-Vote-Decay-3.0,0.7882,491,gradual|3src|brand
3,WV-static,0.8155,580,gradual|3src|brand
3,TF-Vote-NoDecay,0.8155,580,gradual|3src|brand
3,TF-Vote-Decay-3.0,0.8172,580,gradual|3src|brand
4,WV-static,0.8521,629,gradual|3src|brand
4,TF-Vote-NoDecay,0.8521,629,gradual|3src|brand
4,TF-Vote-Decay-3.0,0.849,629,gradual|3src|brand
5,WV-static,0.8735,648,gradual|3src|brand
5,TF-Vote-NoDecay,0.8719,648,gradual|3src|brand
5,TF-Vote-Decay-3.0,0.8688,648,gradual|3src|brand
6,WV-static,0.8995,657,gradual|3src|brand
6,TF-Vote-NoDecay,0.8919,657,gradual|3src|brand
6,TF-Vote-Decay-3.0,0.8935,657,gradual|3src|brand
7,WV-static,0.9153,661,gradual|3src|brand
7,TF-Vote-NoDecay,0.9183,661,gradual|3src|brand
7,TF-Vote-Decay-3.0,0.9228,661,gradual|3src|brand
8,WV-static,0.9228,661,gradual|3src|brand
8,TF-Vote-NoDecay,0.9395,661,gradual|3src|brand
8,TF-Vote-Decay-3.0,0.9349,661,gradual|3src|brand
1,WV-static,0.7396,338,gradual|3src|title
1,TF-Vote-NoDecay,0.7396,338,gradual|3src|title
1,TF-Vote-Decay-3.0,0.7396,338,gradual|3src|title
2,WV-static,0.7902,491,gradual|3src|title
2,TF-Vote-NoDecay,0.7862,491,gradual|3src|title
2,TF-Vote-Decay-3.0,0.7882,491,gradual|3src|title
3,WV-static,0.8155,580,gradual|3src|title
3,TF-Vote-NoDecay,0.8155,580,gradual|3src|title
3,TF-Vote-Decay-3.0,0.8172,580,gradual|3src|title
4,WV-static,0.8553,629,gradual|3src|title
4,TF-Vote-NoDecay,0.8569,629,gradual|3src|title
4,TF-Vote-Decay-3.0,0.8521,629,gradual|3src|title
5,WV-static,0.875,648,gradual|3src|title
5,TF-Vote-NoDecay,0.8781,648,gradual|3src|title
5,TF-Vote-Decay-3.0,0.875,648,gradual|3src|title
6,WV-static,0.9026,657,gradual|3src|title
6,TF-Vote-NoDecay,0.9102,657,gradual|3src|title
6,TF-Vote-Decay-3.0,0.9011,657,gradual|3src|title
7,WV-static,0.9123,661,gradual|3src|title
7,TF-Vote-NoDecay,0.9138,661,gradual|3src|title
