budget,seed,method,F1,EM,mean_n_eff
200,4,TupleFuse-Vote-LCB-Decay,0.9966666666666667,0.9943502824858758,27.941176470588236
200,5,Weighted-Voting-Global,0.9769909502262443,0.9717514124293786,28.745098039215687
200,5,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,28.745098039215687
200,5,TupleFuse-Vote-Mean,0.9835897435897435,0.9717514124293786,28.745098039215687
200,5,TupleFuse-Vote-LCB,0.9933333333333333,0.9887005649717514,28.745098039215687
200,5,TupleFuse-Vote-LCB-Decay,0.9933333333333333,0.9887005649717514,28.745098039215687
200,6,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,29.019607843137255
200,6,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,29.019607843137255
200,6,TupleFuse-Vote-Mean,0.9835897435897435,0.9717514124293786,29.019607843137255
200,6,TupleFuse-Vote-LCB,0.9867948717948719,0.9774011299435028,29.019607843137255
200,6,TupleFuse-Vote-LCB-Decay,0.9966666666666667,0.9943502824858758,29.019607843137255
200,7,Weighted-Voting-Global,0.9769909502262443,0.9717514124293786,28.686274509803923
200,7,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,28.686274509803923
200,7,TupleFuse-Vote-Mean,0.9835897435897435,0.9717514124293786,28.686274509803923
200,7,TupleFuse-Vote-LCB,0.9899999999999999,0.9830508474576272,28.686274509803923
200,7,TupleFuse-Vote-LCB-Decay,0.9933333333333333,0.9887005649717514,28.686274509803923
200,8,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,29.88235294117647
200,8,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,29.88235294117647
200,8,TupleFuse-Vote-Mean,0.9737858220211161,0.9661016949152542,29.88235294117647
200,8,TupleFuse-Vote-LCB,0.9867948717948719,0.9774011299435028,29.88235294117647
200,8,TupleFuse-Vote-LCB-Decay,0.9933333333333333,0.9887005649717514,29.88235294117647
200,9,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,29.098039215686274
200,9,Weighted-Voting-Field,0.9771794871794871,0.96045197740113,29.098039215686274
200,9,TupleFuse-Vote-Mean,0.9771794871794871,0.96045197740113,29.098039215686274
200,9,TupleFuse-Vote-LCB,0.9835897435897435,0.9717514124293786,29.098039215686274
200,9,TupleFuse-Vote-LCB-Decay,0.9933333333333333,0.9887005649717514,29.098039215686274
300,0,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,43.03921568627451
300,0,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,43.03921568627451
300,0,TupleFuse-Vote-Mean,0.9835897435897435,0.9717514124293786,43.03921568627451
300,0,TupleFuse-Vote-LCB,0.9867948717948719,0.9774011299435028,43.03921568627451
300,0,TupleFuse-Vote-LCB-Decay,0.9933333333333333,0.9887005649717514,43.03921568627451
300,1,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,43.03921568627451
300,1,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,43.03921568627451
300,1,TupleFuse-Vote-Mean,0.9835897435897435,0.9717514124293786,43.03921568627451
300,1,TupleFuse-Vote-LCB,0.9867948717948719,0.9774011299435028,43.03921568627451
300,1,TupleFuse-Vote-LCB-Decay,0.9933333333333333,0.9887005649717514,43.03921568627451
300,2,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,43.03921568627451
300,2,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,43.03921568627451
300,2,TupleFuse-Vote-Mean,0.9835897435897435,0.9717514124293786,43.03921568627451
300,2,TupleFuse-Vote-LCB,0.9867948717948719,0.9774011299435028,43.03921568627451
300,2,TupleFuse-Vote-LCB-Decay,0.9933333333333333,0.9887005649717514,43.03921568627451
300,3,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,43.03921568627451
300,3,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,43.03921568627451
300,3,TupleFuse-Vote-Mean,0.9835897435897435,0.9717514124293786,43.03921568627451
300,3,TupleFuse-Vote-LCB,0.9867948717948719,0.9774011299435028,43.03921568627451
300,3,TupleFuse-Vote-LCB-Decay,0.9933333333333333,0.9887005649717514,43.03921568627451
300,4,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,43.03921568627451
300,4,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,43.03921568627451
300,4,TupleFuse-Vote-Mean,0.9835897435897435,0.9717514124293786,43.03921568627451
300,4,TupleFuse-Vote-LCB,0.9867948717948719,0.9774011299435028,43.03921568627451
300,4,TupleFuse-Vote-LCB-Decay,0.9933333333333333,0.9887005649717514,43.03921568627451
300,5,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,43.03921568627451
300,5,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,43.03921568627451
300,5,TupleFuse-Vote-Mean,0.9835897435897435,0.9717514124293786,43.03921568627451
300,5,TupleFuse-Vote-LCB,0.9867948717948719,0.9774011299435028,43.03921568627451
