window,method,bad_mean_trust,scenario
6,TF-Vote-NoDecay,0.7926,gradual|2src|brand
6,TF-Vote-Decay-3.0,0.6635,gradual|2src|brand
7,TF-Vote-NoDecay,0.7904,gradual|2src|brand
7,TF-Vote-Decay-3.0,0.6639,gradual|2src|brand
8,TF-Vote-NoDecay,0.7849,gradual|2src|brand
8,TF-Vote-Decay-3.0,0.6616,gradual|2src|brand
2,TF-Vote-NoDecay,0.7623,gradual|2src|title
2,TF-Vote-Decay-3.0,0.58,gradual|2src|title
3,TF-Vote-NoDecay,0.7735,gradual|2src|title
3,TF-Vote-Decay-3.0,0.612,gradual|2src|title
4,TF-Vote-NoDecay,0.7917,gradual|2src|title
4,TF-Vote-Decay-3.0,0.6456,gradual|2src|title
5,TF-Vote-NoDecay,0.7919,gradual|2src|title
5,TF-Vote-Decay-3.0,0.6592,gradual|2src|title
6,TF-Vote-NoDecay,0.7903,gradual|2src|title
6,TF-Vote-Decay-3.0,0.6721,gradual|2src|title
7,TF-Vote-NoDecay,0.7869,gradual|2src|title
7,TF-Vote-Decay-3.0,0.6762,gradual|2src|title
8,TF-Vote-NoDecay,0.782,gradual|2src|title
8,TF-Vote-Decay-3.0,0.6825,gradual|2src|title
2,TF-Vote-NoDecay,0.7623,gradual|2src|brand+title
2,TF-Vote-Decay-3.0,0.58,gradual|2src|brand+title
3,TF-Vote-NoDecay,0.7735,gradual|2src|brand+title
3,TF-Vote-Decay-3.0,0.612,gradual|2src|brand+title
4,TF-Vote-NoDecay,0.7917,gradual|2src|brand+title
4,TF-Vote-Decay-3.0,0.6456,gradual|2src|brand+title
5,TF-Vote-NoDecay,0.7861,gradual|2src|brand+title
5,TF-Vote-Decay-3.0,0.6503,gradual|2src|brand+title
6,TF-Vote-NoDecay,0.7764,gradual|2src|brand+title
6,TF-Vote-Decay-3.0,0.6524,gradual|2src|brand+title
7,TF-Vote-NoDecay,0.7636,gradual|2src|brand+title
7,TF-Vote-Decay-3.0,0.644,gradual|2src|brand+title
8,TF-Vote-NoDecay,0.7469,gradual|2src|brand+title
8,TF-Vote-Decay-3.0,0.6317,gradual|2src|brand+title
2,TF-Vote-NoDecay,0.7212,gradual|3src|brand
2,TF-Vote-Decay-3.0,0.565,gradual|3src|brand
3,TF-Vote-NoDecay,0.7597,gradual|3src|brand
3,TF-Vote-Decay-3.0,0.6014,gradual|3src|brand
4,TF-Vote-NoDecay,0.7747,gradual|3src|brand
4,TF-Vote-Decay-3.0,0.631,gradual|3src|brand
5,TF-Vote-NoDecay,0.778,gradual|3src|brand
5,TF-Vote-Decay-3.0,0.6445,gradual|3src|brand
6,TF-Vote-NoDecay,0.7789,gradual|3src|brand
6,TF-Vote-Decay-3.0,0.6528,gradual|3src|brand
7,TF-Vote-NoDecay,0.7786,gradual|3src|brand
7,TF-Vote-Decay-3.0,0.6561,gradual|3src|brand
8,TF-Vote-NoDecay,0.7745,gradual|3src|brand
8,TF-Vote-Decay-3.0,0.6545,gradual|3src|brand
2,TF-Vote-NoDecay,0.7212,gradual|3src|title
2,TF-Vote-Decay-3.0,0.565,gradual|3src|title
3,TF-Vote-NoDecay,0.7597,gradual|3src|title
3,TF-Vote-Decay-3.0,0.6014,gradual|3src|title
4,TF-Vote-NoDecay,0.7747,gradual|3src|title
4,TF-Vote-Decay-3.0,0.631,gradual|3src|title
5,TF-Vote-NoDecay,0.7775,gradual|3src|title
5,TF-Vote-Decay-3.0,0.649,gradual|3src|title
6,TF-Vote-NoDecay,0.7793,gradual|3src|title
6,TF-Vote-Decay-3.0,0.6634,gradual|3src|title
7,TF-Vote-NoDecay,0.7821,gradual|3src|title
7,TF-Vote-Decay-3.0,0.6761,gradual|3src|title
8,TF-Vote-NoDecay,0.7797,gradual|3src|title
8,TF-Vote-Decay-3.0,0.6796,gradual|3src|title
2,TF-Vote-NoDecay,0.7212,gradual|3src|brand+title
2,TF-Vote-Decay-3.0,0.565,gradual|3src|brand+title
3,TF-Vote-NoDecay,0.7597,gradual|3src|brand+title
3,TF-Vote-Decay-3.0,0.6014,gradual|3src|brand+title
4,TF-Vote-NoDecay,0.7747,gradual|3src|brand+title
4,TF-Vote-Decay-3.0,0.631,gradual|3src|brand+title
5,TF-Vote-NoDecay,0.7708,gradual|3src|brand+title
5,TF-Vote-Decay-3.0,0.6396,gradual|3src|brand+title
6,TF-Vote-NoDecay,0.7634,gradual|3src|brand+title
6,TF-Vote-Decay-3.0,0.6425,gradual|3src|brand+title
7,TF-Vote-NoDecay,0.7543,gradual|3src|brand+title
7,TF-Vote-Decay-3.0,0.639,gradual|3src|brand+title
8,TF-Vote-NoDecay,0.7398,gradual|3src|brand+title
8,TF-Vote-Decay-3.0,0.6274,gradual|3src|brand+title
2,TF-Vote-NoDecay,0.7301,gradual|5src|brand
2,TF-Vote-Decay-3.0,0.5598,gradual|5src|brand
3,TF-Vote-NoDecay,0.7717,gradual|5src|brand
3,TF-Vote-Decay-3.0,0.5951,gradual|5src|brand
4,TF-Vote-NoDecay,0.7832,gradual|5src|brand
4,TF-Vote-Decay-3.0,0.6187,gradual|5src|brand
5,TF-Vote-NoDecay,0.7842,gradual|5src|brand
5,TF-Vote-Decay-3.0,0.6297,gradual|5src|brand
6,TF-Vote-NoDecay,0.7807,gradual|5src|brand
6,TF-Vote-Decay-3.0,0.6361,gradual|5src|brand
7,TF-Vote-NoDecay,0.7806,gradual|5src|brand
7,TF-Vote-Decay-3.0,0.645,gradual|5src|brand
8,TF-Vote-NoDecay,0.7762,gradual|5src|brand
8,TF-Vote-Decay-3.0,0.6437,gradual|5src|brand
2,TF-Vote-NoDecay,0.7301,gradual|5src|title
2,TF-Vote-Decay-3.0,0.5598,gradual|5src|title
3,TF-Vote-NoDecay,0.7717,gradual|5src|title
3,TF-Vote-Decay-3.0,0.5951,gradual|5src|title
4,TF-Vote-NoDecay,0.7832,gradual|5src|title
4,TF-Vote-Decay-3.0,0.6187,gradual|5src|title
5,TF-Vote-NoDecay,0.7839,gradual|5src|title
5,TF-Vote-Decay-3.0,0.6328,gradual|5src|title
6,TF-Vote-NoDecay,0.7842,gradual|5src|title
6,TF-Vote-Decay-3.0,0.6475,gradual|5src|title
7,TF-Vote-NoDecay,0.7853,gradual|5src|title
7,TF-Vote-Decay-3.0,0.66,gradual|5src|title
8,TF-Vote-NoDecay,0.7821,gradual|5src|title
8,TF-Vote-Decay-3.0,0.6641,gradual|5src|title
2,TF-Vote-NoDecay,0.7301,gradual|5src|brand+title
2,TF-Vote-Decay-3.0,0.5598,gradual|5src|brand+title
3,TF-Vote-NoDecay,0.7717,gradual|5src|brand+title
3,TF-Vote-Decay-3.0,0.5951,gradual|5src|brand+title
